
江西IPTV6,#genre#
咪咕视频-1,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226243/index.m3u8
陕西农林卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226204/index.m3u8
咪咕视频-2,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226240/index.m3u8
咪咕视频-3,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226238/index.m3u8
CCTV-1,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226223/index.m3u8
河南卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226212/index.m3u8
CGTN西班牙语,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226273/index.m3u8
CCTV-12,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226267/index.m3u8
优购物,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226219/index.m3u8
兵团卫视576,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226200/index.m3u8
CCTV-1,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226226/index.m3u8
CCTV-2,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226254/index.m3u8
CCTV-1,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226231/index.m3u8
CCTV-15,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226292/index.m3u8
